,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
216,32,46,75,74,68,82,58,73,70,77,48,52,72,65,65,38,90,70,58,63,0,1,0,3,[]
217,43,54,77,75,78,75,66,77,79,74,54,53,71,65,57,47,89,76,68,63,0,1,0,3,[]
218,52,64,79,74,79,75,73,85,79,74,63,59,70,67,55,52,88,79,71,67,0,1,0,3,[]
219,58,76,87,78,82,83,81,87,87,78,71,69,72,70,62,62,87,85,79,76,0,1,0,3,[]
220,69,81,92,74,83,84,87,83,89,77,80,77,83,78,74,69,89,75,88,77,0,1,0,3,[]
221,79,85,91,72,87,76,88,79,90,76,86,76,90,75,80,76,91,72,89,76,0,1,0,3,[]
222,89,84,91,72,87,73,86,82,90,82,86,76,87,79,85,79,90,74,89,77,0,1,0,3,['18:28 V5Ben4(德玛西亚皇子) 击杀了 LNGPlex(万花通灵)']
223,85,86,91,72,87,73,86,82,89,84,86,76,85,85,88,83,87,80,82,82,0,1,0,3,[]
224,85,86,91,72,87,73,86,82,89,84,86,76,78,81,91,78,82,85,80,86,0,1,0,3,[]
225,85,86,91,72,87,73,86,82,89,84,86,76,71,70,79,83,72,90,71,91,0,1,0,3,[]
226,85,86,91,72,87,73,86,82,89,84,86,76,64,72,73,72,60,91,61,90,0,1,0,4,[]
227,85,86,91,72,87,73,86,82,89,84,86,76,66,71,65,63,55,90,60,89,0,1,0,4,[]
228,85,86,6,88,87,73,86,82,2,96,86,76,66,71,54,57,59,89,60,89,0,1,0,4,[]
229,85,86,12,77,3,94,86,82,8,86,90,5,67,70,50,54,59,89,94,5,0,1,0,4,[]
230,85,86,17,66,13,84,12,90,17,78,78,15,95,4,50,54,90,12,88,15,0,1,0,4,[]
231,8,95,24,56,18,76,22,80,26,70,70,28,91,5,89,7,77,17,79,24,0,1,0,4,[]
232,21,94,24,55,18,62,30,70,33,64,60,38,89,8,81,18,64,22,68,35,0,1,0,5,[]
233,34,93,20,47,14,50,38,64,35,62,51,49,75,20,72,29,50,24,59,44,0,1,0,5,[]
234,47,91,22,52,9,39,40,56,41,56,48,53,65,30,62,38,54,32,48,50,0,1,0,5,[]
235,54,86,27,50,9,31,41,58,38,60,47,52,55,41,51,46,55,32,42,53,0,1,0,5,[]
236,60,84,26,59,9,37,34,65,34,64,41,57,44,52,38,59,55,43,37,61,0,1,0,5,[]
237,52,84,21,55,15,50,28,70,29,71,36,62,39,64,33,62,47,54,37,61,0,1,0,5,[]
238,50,88,19,60,18,63,25,73,27,75,35,66,45,66,31,66,55,64,44,68,0,1,0,5,[]
239,48,91,21,66,25,72,24,78,28,76,42,67,46,66,38,64,63,76,57,69,0,1,0,5,[]
240,53,93,27,72,28,78,16,87,33,82,50,77,48,78,41,70,70,80,59,74,0,1,0,5,[]
241,43,93,26,72,28,69,6,94,28,75,53,85,58,89,40,74,72,85,48,81,0,1,0,5,[]
242,39,91,27,68,26,70,14,91,32,89,56,85,54,88,39,73,67,90,43,83,0,1,0,5,[]
243,42,90,28,70,25,72,31,92,40,93,54,86,52,93,37,67,55,90,54,90,0,1,0,5,[]
244,44,92,36,77,30,83,43,92,44,94,52,90,50,91,43,69,50,89,51,91,0,1,0,5,[]
245,45,91,32,79,37,88,46,94,47,93,53,88,49,84,48,68,53,89,54,89,0,1,0,5,[]
246,40,94,37,88,36,90,47,94,44,94,60,88,51,85,48,57,57,90,55,92,0,1,0,5,[]
247,48,93,48,94,45,91,50,94,50,94,54,86,53,89,48,58,58,91,53,91,0,1,0,5,[]
