,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
221,82,65,42,24,44,23,44,24,41,27,49,8,54,30,54,31,88,8,51,29,0,3,0,0,[]
222,91,58,41,34,40,31,41,33,41,36,48,19,45,23,48,33,77,14,49,32,0,3,0,0,[]
223,90,62,34,41,33,37,43,45,43,45,45,23,49,24,54,31,65,20,47,32,0,3,0,0,[]
224,89,65,24,46,24,42,47,51,45,52,45,23,51,22,43,24,53,26,43,33,0,3,0,0,[]
225,2,96,16,43,24,41,40,57,43,55,94,15,51,31,30,19,57,33,43,32,0,3,0,0,[]
226,15,94,14,42,20,28,40,57,2,96,92,30,41,35,19,12,60,35,44,36,0,3,0,0,[]
227,29,93,15,40,19,13,5,94,4,95,91,45,46,40,23,13,54,41,43,43,0,3,0,0,[]
228,40,87,15,40,23,12,16,89,11,91,91,52,38,39,37,14,50,46,37,41,0,3,0,0,[]
229,50,77,5,91,28,11,27,84,21,82,91,62,42,36,37,14,51,44,44,35,0,3,0,0,[]
230,52,76,15,79,41,16,37,76,28,72,90,74,43,34,37,16,59,36,41,31,0,3,0,0,[]
231,54,76,24,71,37,23,40,73,36,62,92,75,40,23,38,23,51,27,38,25,0,3,0,0,"['19:11 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGYagao(Î´À´ÊØ»¤Õß)', '19:15 JDGKanavi(¾ÆÍ°) »÷É±ÁË TESKnight9(µ¶·æÎèÕß)']"
232,63,87,33,63,37,23,47,79,45,55,90,63,46,24,38,23,54,30,43,24,0,3,0,0,[]
233,75,88,25,57,37,23,45,71,48,58,83,52,51,27,38,23,50,21,43,24,0,3,0,0,[]
234,82,80,30,59,37,23,56,67,48,53,74,56,53,34,38,23,43,11,90,6,0,3,0,0,[]
