,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
182,86,78,55,84,17,49,44,56,47,49,90,74,35,38,10,32,61,57,61,57,24033,1,28764,2,[]
183,74,78,56,83,8,52,41,53,38,50,89,75,41,39,17,43,63,60,63,60,24164,1,28922,2,[]
184,70,80,56,84,6,48,34,59,31,51,87,73,29,37,21,48,55,57,55,57,24421,1,29129,2,[]
185,78,85,61,83,5,51,42,58,35,49,81,66,31,40,18,51,48,52,47,49,24516,1,29251,2,[]
186,86,86,72,77,6,56,42,57,42,56,70,62,33,49,9,48,49,52,48,50,24570,1,29444,2,[]
187,86,81,73,69,6,55,37,60,38,59,62,61,32,53,9,48,46,53,46,53,24760,1,29700,2,[]
188,85,81,66,67,7,53,38,59,40,61,62,61,35,61,8,52,41,53,41,53,25027,1,29801,2,[]
189,75,72,51,65,10,59,40,60,39,58,72,62,32,50,11,48,45,53,48,50,25211,1,29856,2,[]
190,75,69,46,64,10,60,36,62,34,59,86,65,39,44,17,59,50,48,49,50,25366,1,30047,2,[]
191,72,69,38,64,5,57,34,63,30,58,91,71,32,44,9,63,46,52,46,52,25415,1,30268,2,[]
192,60,63,27,59,8,51,22,64,22,54,88,77,21,50,6,52,46,51,46,51,25517,1,30648,2,['15:59 FPXDoinb(Éîº£Ì©Ì¹) »÷É±ÁË BLGKuro(»úÐµ¹«µÐ)']
193,54,67,17,62,8,51,33,63,32,60,81,86,26,50,13,48,42,54,42,54,25683,1,31310,3,['16:5 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
194,60,80,8,54,8,51,34,65,35,62,78,82,31,54,5,45,43,55,43,55,25790,1,31391,3,[]
195,63,90,10,60,8,51,33,69,31,68,69,78,40,65,5,46,34,61,40,65,25931,1,31443,3,[]
196,56,91,17,59,8,51,27,66,30,70,56,77,47,75,7,50,36,61,44,69,26026,1,31643,3,[]
197,48,83,9,49,8,51,14,63,19,63,49,74,38,75,6,50,36,61,37,61,26077,1,31709,3,[]
198,42,80,7,47,8,51,10,53,15,51,43,79,41,80,5,45,38,63,38,59,26156,1,31942,3,[]
199,30,82,5,42,5,92,8,42,5,42,42,78,39,76,5,39,35,66,34,63,27227,1,32087,3,['16:35 BLGJinjiao(ÄæÓð) »÷É±ÁË FPXDoinb(Éîº£Ì©Ì¹)']
200,19,89,5,45,12,82,7,46,5,45,47,80,33,69,5,39,36,67,34,63,27281,1,32139,3,[]
