,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
227,60,60,26,30,26,24,41,61,34,59,48,49,39,39,43,41,45,51,42,39,0,2,0,1,['18:54 BLG »÷ÆÆÁË·ÀÓùËþ']
228,51,56,25,37,30,35,40,60,31,58,48,49,41,35,49,43,43,51,44,46,0,2,0,1,[]
229,61,61,20,49,28,37,41,59,34,59,58,49,43,39,50,45,47,51,48,50,0,2,0,1,[]
230,64,63,21,50,25,37,39,60,34,59,71,50,54,42,48,39,48,50,52,48,0,2,0,1,[]
231,75,62,2,96,2,96,39,65,7,94,84,50,67,41,54,32,46,53,54,56,0,2,0,1,[]
232,61,62,14,90,11,83,45,73,17,86,90,53,70,40,59,24,46,51,50,49,0,2,0,1,[]
233,54,62,25,83,31,67,44,71,25,76,93,52,65,39,48,15,48,50,47,51,0,2,0,1,[]
234,62,63,36,76,45,57,40,62,33,66,93,54,61,40,40,9,49,48,49,48,0,2,0,1,[]
235,75,70,45,64,50,51,46,56,44,58,91,60,60,41,45,8,58,40,57,42,0,2,0,1,[]
236,82,78,52,64,52,46,54,56,49,51,91,54,95,4,36,11,58,40,58,41,0,2,0,1,[]
237,88,73,65,65,56,56,59,58,58,55,93,53,86,9,27,12,57,39,60,40,0,2,0,1,[]
238,84,66,64,71,43,48,65,65,66,52,95,4,77,18,24,9,56,41,58,38,0,2,0,1,[]
